packets_received,bytes_received,packets_transmitted,bytes_transmitted,traffic_type,i_src_host,i_dst_host
0.0,0.0,0.0,0.0,0,0,0
655998.0,20430235648.0,655998.0,20430235648.0,3,h8,h5
709336.0,22112002048.0,709336.0,22112002048.0,3,h2,iot1
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h4,h7
70.0,6300.0,70.0,6300.0,1,h4,h9
749088.0,24773814272.0,749088.0,24773814272.0,3,h9,h8
70.0,6300.0,70.0,6300.0,1,h7,h4
684466.0,22552858624.0,684466.0,22552858624.0,3,h10,h5
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,iot1,h7
70.0,6300.0,70.0,6300.0,1,h8,h4
736.0,1112832.0,736.0,1112832.0,2,h4,h8
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
575736.0,18048339968.0,575736.0,18048339968.0,3,iot1,h9
756.0,1113672.0,756.0,1113672.0,2,h7,h1
70.0,6300.0,70.0,6300.0,1,h4,h7
756.0,1113672.0,756.0,1113672.0,2,iot1,h1
0.0,0.0,0.0,0.0,0,0,0
754.0,1114612.0,754.0,1114612.0,2,h3,h4
70.0,6300.0,70.0,6300.0,1,h2,h6
0.0,0.0,0.0,0.0,0,0,0
746.0,1113252.0,746.0,1113252.0,2,iot1,h5
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h7,h1
756.0,1113672.0,756.0,1113672.0,2,h3,h10
678118.0,21782261760.0,678118.0,21782261760.0,3,h2,h7
711488.0,22014625792.0,711488.0,22014625792.0,3,iot1,h8
739992.0,23248584704.0,739992.0,23248584704.0,3,h9,h5
756.0,1113672.0,756.0,1113672.0,2,h3,h7
756.0,1113672.0,756.0,1113672.0,2,iot1,h7
756.0,1113672.0,756.0,1113672.0,2,h10,h5
70.0,6300.0,70.0,6300.0,1,h1,h9
648767.0,21127061504.0,648767.0,21127061504.0,3,h3,h7
70.0,6300.0,70.0,6300.0,1,iot1,h8
712578.0,22556962816.0,712578.0,22556962816.0,3,h3,h5
800424.0,25077100544.0,800424.0,25077100544.0,3,h5,h8
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h2,h3
0.0,0.0,0.0,0.0,0,0,0
658536.0,21455386624.0,658536.0,21455386624.0,3,h2,h6
70.0,6300.0,70.0,6300.0,1,h6,iot1
756.0,1113672.0,756.0,1113672.0,2,h6,h5
770160.0,24995405824.0,770160.0,24995405824.0,3,h10,h9
0.0,0.0,0.0,0.0,0,0,0
737026.0,23237902336.0,737026.0,23237902336.0,3,h7,h5
933352.0,30469257216.0,933352.0,30469257216.0,3,h10,h6
756.0,1113672.0,756.0,1113672.0,2,h5,h9
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
705096.0,22076069888.0,705096.0,22076069888.0,3,h7,h1
756.0,1113672.0,756.0,1113672.0,2,h8,iot1
756.0,1113672.0,756.0,1113672.0,2,h1,h2
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h6,h4
0.0,0.0,0.0,0.0,0,0,0
746.0,1113252.0,746.0,1113252.0,2,h4,h5
754.0,1114612.0,754.0,1114612.0,2,h7,h1
754.0,1114612.0,754.0,1114612.0,2,h6,h3
664.0,974568.0,664.0,974568.0,2,h5,h2
792968.0,25458284544.0,792968.0,25458284544.0,3,h7,h10
754.0,1114612.0,754.0,1114612.0,2,h8,iot1
70.0,6300.0,70.0,6300.0,1,h3,h9
756.0,1113672.0,756.0,1113672.0,2,h7,h9
755.0,1114654.0,755.0,1114654.0,2,h6,h8
664.0,974568.0,664.0,974568.0,2,iot1,h1
717136.0,22368368640.0,717136.0,22368368640.0,3,h6,iot1
70.0,6300.0,70.0,6300.0,1,h5,iot1
754.0,1114612.0,754.0,1114612.0,2,iot1,h10
80.0,6720.0,80.0,6720.0,1,h3,h2
737600.0,23784249344.0,737600.0,23784249344.0,3,h1,h4
754.0,1114612.0,754.0,1114612.0,2,h1,h7
70.0,6300.0,70.0,6300.0,1,h7,h8
70.0,6300.0,70.0,6300.0,1,h3,h2
70.0,6300.0,70.0,6300.0,1,h10,h8
580512.0,17992032256.0,580512.0,17992032256.0,3,h8,h9
754296.0,23668959232.0,754296.0,23668959232.0,3,h5,h6
0.0,0.0,0.0,0.0,0,0,0
771096.0,23644901376.0,771096.0,23644901376.0,3,h8,h10
80.0,6720.0,80.0,6720.0,1,h6,h2
80.0,6720.0,80.0,6720.0,1,h1,iot1
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h5,h7
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h6,h7
70.0,6300.0,70.0,6300.0,1,iot1,h10
0.0,0.0,0.0,0.0,0,0,0
628816.0,20382828544.0,628816.0,20382828544.0,3,iot1,h7
756.0,1113672.0,756.0,1113672.0,2,h6,h1
70.0,6300.0,70.0,6300.0,1,h9,iot1
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h4,h9
756.0,1113672.0,756.0,1113672.0,2,h1,h5
745928.0,23058135040.0,745928.0,23058135040.0,3,h2,h7
756.0,1113672.0,756.0,1113672.0,2,h1,iot1
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h5,h4
